ID,Top,Jungle,Mid,Bot,Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy Bot,Enemy Support,Team Gold,Team Kills,Team Deaths,Dragons,Dragon Soul,Baron,Rift Herald,First tower,First Kill,Team Total CC,Victory
EUW1_6239597703,Olaf,Talon,Syndra,Draven,Karma,Rumble,LeeSin,Kassadin,Kalista,Nautilus,61360,31,43,1,False,1,2,True,False,131,True
EUW1_6239597703,Rumble,LeeSin,Kassadin,Kalista,Nautilus,Olaf,Talon,Syndra,Draven,Karma,64150,43,31,3,False,1,0,False,True,164,False
EUW1_6239615184,Riven,Maokai,Irelia,Ezreal,Alistar,Karma,Kayn,Vladimir,Tristana,Bard,49635,26,33,1,False,0,1,False,True,155,False
EUW1_6239615184,Karma,Kayn,Vladimir,Tristana,Bard,Riven,Maokai,Irelia,Ezreal,Alistar,49025,33,26,2,False,1,0,True,False,154,True
EUW1_6239631409,Jayce,Sylas,Yone,Varus,Zyra,MonkeyKing,Talon,Zoe,Ezreal,Karma,40150,18,14,2,False,1,1,True,False,69,True
EUW1_6239631409,MonkeyKing,Talon,Zoe,Ezreal,Karma,Jayce,Sylas,Yone,Varus,Zyra,43160,14,18,0,False,0,1,False,True,45,False
EUW1_6239664080,Camille,MonkeyKing,Kassadin,Kaisa,Nautilus,Olaf,Talon,Akali,Zeri,Yuumi,49650,32,30,1,False,1,0,False,False,118,True
EUW1_6239664080,Olaf,Talon,Akali,Zeri,Yuumi,Camille,MonkeyKing,Kassadin,Kaisa,Nautilus,48910,30,32,2,False,0,2,True,True,44,False
EUW1_6239687805,KSante,Viego,Ryze,Zeri,Yuumi,Graves,Akali,Qiyana,Varus,Bard,39000,12,22,0,False,0,0,False,False,63,False
EUW1_6239687805,Graves,Akali,Qiyana,Varus,Bard,KSante,Viego,Ryze,Zeri,Yuumi,44585,22,12,3,False,1,2,True,True,65,True
EUW1_6239690230,Ornn,Viego,Pantheon,Swain,Senna,TahmKench,MonkeyKing,Syndra,Kaisa,Pyke,34510,14,35,0,False,0,0,False,False,105,False
EUW1_6239690230,TahmKench,MonkeyKing,Syndra,Kaisa,Pyke,Ornn,Viego,Pantheon,Swain,Senna,45430,35,14,1,False,1,1,True,True,98,True
EUW1_6239729004,Zac,MonkeyKing,Katarina,Seraphine,Senna,Vladimir,Viego,Qiyana,Sivir,Pyke,54775,37,26,4,True,1,0,False,True,116,True
EUW1_6239729004,Vladimir,Viego,Qiyana,Sivir,Pyke,Zac,MonkeyKing,Katarina,Seraphine,Senna,55300,26,37,0,False,0,1,True,False,78,False
EUW1_6239755955,Sion,Vi,Syndra,Kalista,Nami,Riven,Elise,Ekko,Lucian,Sona,23625,6,20,1,False,0,0,False,False,75,False
EUW1_6239755955,Riven,Elise,Ekko,Lucian,Sona,Sion,Vi,Syndra,Kalista,Nami,30125,20,6,0,False,0,1,True,True,45,True
